P000001022,000000000000000001,2,5
P000001699,000000000000000001,2,5
P000001314,000000000000000001,2,5
P000000533,000000000000000002,2,1
P000000667,000000000000000003,1,3
P000001526,000000000000000004,1,1
P000001215,000000000000000004,2,1
P000000509,000000000000000005,2,2
P000001738,000000000000000006,2,4
P000000376,000000000000000006,2,4
P000001344,000000000000000007,2,2
P000001449,000000000000000007,6,2
P000000097,000000000000000008,1,1
P000000620,000000000000000009,3,1
P000000860,000000000000000010,1,5
P000001182,000000000000000010,1,5
P000001773,000000000000000011,1,4
P000000690,000000000000000011,1,4
P000001096,000000000000000012,3,3
P000000838,000000000000000012,2,3
P000000626,000000000000000013,2,3
P000000475,000000000000000013,6,3
P000001614,000000000000000014,2,1
P000001246,000000000000000014,4,1
P000000933,000000000000000015,1,3
P000000223,000000000000000016,1,5
P000001742,000000000000000017,2,3
P000000497,000000000000000018,1,5
P000001689,000000000000000019,1,1
P000000273,000000000000000020,1,5
P000000688,000000000000000020,2,5
P000001158,000000000000000021,2,2
P000000623,000000000000000021,2,2
P000000177,000000000000000022,2,2
P000000993,000000000000000023,1,3
P000001530,000000000000000024,1,1
P000001351,000000000000000025,2,3
P000001236,000000000000000026,1,3
P000000372,000000000000000027,1,3
P000001028,000000000000000027,1,3
P000000627,000000000000000028,2,4
P000000519,000000000000000029,2,4
P000000307,000000000000000029,1,4
P000001400,000000000000000030,1,5
P000000047,000000000000000030,1,5
P000001305,000000000000000031,2,4
P000000132,000000000000000031,1,4
P000000360,000000000000000031,1,4
P000001689,000000000000000032,1,5
P000000369,000000000000000032,2,5
P000000835,000000000000000033,1,2
P000000082,000000000000000034,2,3
P000000149,000000000000000034,4,3
P000000607,000000000000000035,2,2
P000000755,000000000000000035,1,2
P000000086,000000000000000036,2,5
P000001220,000000000000000037,1,5
P000001782,000000000000000038,1,3
P000001559,000000000000000038,2,3
P000001202,000000000000000039,2,4
P000000572,000000000000000039,5,4
P000000043,000000000000000040,2,2
P000001791,000000000000000041,1,3
P000000866,000000000000000042,2,2
P000001586,000000000000000042,2,2
P000001626,000000000000000043,2,1
P000000784,000000000000000044,1,2
P000000595,000000000000000045,2,5
P000000863,000000000000000045,1,5
P000001751,000000000000000045,4,5
P000000539,000000000000000046,2,5
P000001343,000000000000000046,6,5
P000001557,000000000000000047,2,4
P000000336,000000000000000047,2,4
P000001421,000000000000000048,1,3
P000000775,000000000000000049,2,3
P000000433,000000000000000050,3,2
P000001645,000000000000000050,1,2
P000000223,000000000000000051,1,2
P000000889,000000000000000052,2,3
P000000002,000000000000000053,1,4
P000000555,000000000000000053,1,4
P000000096,000000000000000054,1,2
P000001434,000000000000000055,5,3
P000000087,000000000000000056,2,4
P000000487,000000000000000057,2,2
P000000249,000000000000000057,2,2
P000001136,000000000000000058,4,4
P000000520,000000000000000059,1,1
P000001319,000000000000000060,2,2
P000001777,000000000000000060,2,2
P000000822,000000000000000061,5,4
P000001811,000000000000000061,1,4
P000001657,000000000000000061,2,4
P000001029,000000000000000061,2,4
P000001714,000000000000000062,1,1
P000000667,000000000000000063,4,1
P000001287,000000000000000064,1,1
P000001774,000000000000000064,1,1
P000000229,000000000000000065,1,3
P000001185,000000000000000066,2,3
P000001769,000000000000000066,2,3
P000001530,000000000000000066,3,3
P000000507,000000000000000067,2,4
P000001063,000000000000000068,2,3
P000001850,000000000000000069,6,3
P000001204,000000000000000069,2,3
P000000268,000000000000000070,2,3
P000001617,000000000000000070,2,3
P000000232,000000000000000070,2,3
P000001147,000000000000000071,2,3
P000001120,000000000000000072,2,3
P000001255,000000000000000072,2,3
P000000991,000000000000000073,2,2
P000000328,000000000000000074,4,4
P000001456,000000000000000074,1,4
P000000249,000000000000000075,5,3
P000000290,000000000000000075,1,3
P000001576,000000000000000076,1,5
P000001148,000000000000000077,1,4
P000001351,000000000000000077,3,4
P000000311,000000000000000077,1,4
P000000719,000000000000000078,5,4
P000001410,000000000000000079,1,5
P000001562,000000000000000080,1,5
P000001102,000000000000000081,1,2
P000000675,000000000000000082,2,5
P000001166,000000000000000083,2,3
P000001548,000000000000000084,1,2
P000001549,000000000000000085,2,2
P000000235,000000000000000086,5,4
P000000726,000000000000000087,2,3
P000001612,000000000000000088,2,1
P000000186,000000000000000089,1,5
P000000283,000000000000000090,1,4
P000000348,000000000000000091,1,3
P000001160,000000000000000091,1,3
P000001253,000000000000000092,2,3
P000001428,000000000000000093,2,4
P000000585,000000000000000093,2,4
P000000970,000000000000000094,2,2
P000001450,000000000000000095,2,2
P000000180,000000000000000096,1,3
P000001815,000000000000000096,1,3
P000001057,000000000000000097,2,3
P000001054,000000000000000097,1,3
P000000777,000000000000000098,5,5
P000001558,000000000000000098,1,5
P000000644,000000000000000098,1,5
P000000190,000000000000000099,1,3
P000001170,000000000000000100,2,1
P000000570,000000000000000101,1,3
P000001296,000000000000000102,1,5
P000000921,000000000000000103,2,2
P000000645,000000000000000104,3,4
P000000910,000000000000000105,2,4
P000000418,000000000000000105,1,4
P000000287,000000000000000106,2,2
P000001737,000000000000000107,1,2
P000000215,000000000000000107,2,2
P000001810,000000000000000108,3,4
P000000210,000000000000000108,1,4
P000000499,000000000000000108,1,4
P000000903,000000000000000109,2,4
P000000514,000000000000000110,2,3
P000000866,000000000000000110,2,3
P000000081,000000000000000110,2,3
P000001528,000000000000000111,1,1
P000001454,000000000000000112,1,1
P000001025,000000000000000113,1,1
P000000779,000000000000000114,1,1
P000000638,000000000000000115,3,5
P000000869,000000000000000116,1,5
P000000803,000000000000000116,2,5
P000001582,000000000000000117,1,2
P000001760,000000000000000118,3,2
P000001008,000000000000000118,2,2
P000000918,000000000000000119,2,3
P000000127,000000000000000119,1,3
P000000302,000000000000000120,2,4
P000001518,000000000000000121,2,4
P000000982,000000000000000121,2,4
P000000087,000000000000000122,5,4
P000000914,000000000000000122,1,4
P000001706,000000000000000123,3,4
P000000093,000000000000000124,1,5
P000001158,000000000000000125,1,5
P000000550,000000000000000125,2,5
P000001625,000000000000000125,1,5
P000000187,000000000000000125,2,5
P000001062,000000000000000126,2,3
P000000925,000000000000000127,2,1
P000001146,000000000000000127,1,1
P000000788,000000000000000128,1,3
P000000551,000000000000000129,2,5
P000001313,000000000000000130,1,2
P000001843,000000000000000130,5,2
P000001646,000000000000000130,6,2
P000001183,000000000000000131,4,3
P000001486,000000000000000132,3,4
P000001690,000000000000000133,1,3
P000000227,000000000000000134,1,4
P000001799,000000000000000134,2,4
P000001316,000000000000000135,1,4
P000001288,000000000000000136,1,2
P000000451,000000000000000137,1,1
P000000697,000000000000000138,2,3
P000000292,000000000000000138,3,3
P000000862,000000000000000139,2,1
P000001332,000000000000000140,2,3
P000001501,000000000000000141,3,4
P000000434,000000000000000142,1,5
P000001280,000000000000000143,6,3
P000001657,000000000000000143,1,3
P000000483,000000000000000144,1,1
P000001110,000000000000000145,1,5
P000000345,000000000000000145,2,5
P000001230,000000000000000146,3,4
P000001576,000000000000000147,5,3
P000000928,000000000000000148,1,2
P000000389,000000000000000148,4,2
P000001653,000000000000000148,1,2
P000001378,000000000000000149,2,5
P000001767,000000000000000150,1,3
P000001415,000000000000000151,4,4
P000001183,000000000000000152,2,5
P000000583,000000000000000152,2,5
P000001792,000000000000000153,2,3
P000001136,000000000000000154,1,5
P000001444,000000000000000155,1,3
P000001364,000000000000000156,5,5
P000000243,000000000000000157,3,5
P000000048,000000000000000157,6,5
P000000113,000000000000000158,2,3
P000000627,000000000000000159,1,2
P000000186,000000000000000160,2,4
P000000591,000000000000000161,1,3
P000001609,000000000000000162,1,4
P000001778,000000000000000163,1,4
P000001611,000000000000000164,2,3
P000000106,000000000000000165,6,5
P000001159,000000000000000166,6,1
P000001691,000000000000000167,2,4
P000001169,000000000000000168,1,2
P000000553,000000000000000169,6,3
P000000805,000000000000000170,2,1
P000000799,000000000000000170,1,1
P000000971,000000000000000170,1,1
P000001167,000000000000000171,4,2
P000001421,000000000000000172,6,1
P000000466,000000000000000173,2,1
P000001676,000000000000000173,1,1
P000001164,000000000000000174,2,1
P000000951,000000000000000175,1,1
P000000606,000000000000000175,1,1
P000000699,000000000000000175,4,1
P000001573,000000000000000176,6,2
P000001131,000000000000000177,6,4
P000001404,000000000000000178,1,3
P000001084,000000000000000179,1,3
P000000159,000000000000000179,2,3
P000000347,000000000000000180,1,4
P000000008,000000000000000180,2,4
P000000383,000000000000000181,2,2
P000000925,000000000000000182,1,4
P000000258,000000000000000183,3,2
P000001051,000000000000000184,4,4
P000001506,000000000000000185,1,3
P000001587,000000000000000185,2,3
P000000283,000000000000000185,1,3
P000000538,000000000000000186,2,3
P000001575,000000000000000187,1,3
P000000176,000000000000000187,2,3
P000000732,000000000000000188,1,3
P000000151,000000000000000189,2,3
P000000889,000000000000000190,5,2
P000001536,000000000000000191,2,5
P000000821,000000000000000191,1,5
P000001648,000000000000000192,1,1
P000001475,000000000000000193,2,2
P000000198,000000000000000194,2,1
P000001722,000000000000000195,1,4
P000000430,000000000000000196,1,2
P000001216,000000000000000196,2,2
P000001642,000000000000000196,5,2
P000001196,000000000000000197,1,5
P000000214,000000000000000198,2,4
P000001164,000000000000000199,1,3
P000000435,000000000000000199,6,3
P000000792,000000000000000199,2,3
P000000480,000000000000000200,1,4
P000001050,000000000000000201,2,5
P000001683,000000000000000201,1,5
P000000229,000000000000000202,5,1
P000001513,000000000000000203,2,1
P000000026,000000000000000203,1,1
P000001820,000000000000000204,1,5
P000000521,000000000000000205,2,3
P000001394,000000000000000205,5,3
P000001514,000000000000000206,1,3
P000000306,000000000000000206,2,3
P000001805,000000000000000206,1,3
P000001419,000000000000000207,1,2
P000001691,000000000000000207,6,2
P000001688,000000000000000208,5,1
P000001550,000000000000000208,2,1
P000001517,000000000000000209,2,3
P000000124,000000000000000210,3,1
P000000905,000000000000000211,1,2
P000001126,000000000000000212,2,3
P000001125,000000000000000213,1,3
P000001165,000000000000000214,1,5
P000001393,000000000000000215,2,3
P000001710,000000000000000215,4,3
P000001650,000000000000000216,5,4
P000000064,000000000000000217,1,1
P000001539,000000000000000217,4,1
P000000572,000000000000000217,5,1
P000000021,000000000000000218,1,5
P000001069,000000000000000219,6,4
P000001003,000000000000000220,2,5
P000001553,000000000000000220,1,5
P000001777,000000000000000221,2,1
P000000827,000000000000000221,2,1
P000001272,000000000000000222,1,2
P000000878,000000000000000222,1,2
P000000729,000000000000000223,2,5
P000000081,000000000000000223,2,5
P000000119,000000000000000224,2,3
P000001093,000000000000000224,3,3
